year	month	male	female
1947	1	5540	4740
1947	2	4925	4259
1947	3	5640	4678
1947	4	5864	4938
1947	5	5332	4661
1947	6	4655	4194
1947	7	4834	4519
1947	8	4838	4444
1947	9	4628	4403
1947	10	4725	4452
1947	11	4535	4064
1947	12	4879	4449
1949	1	3868	3517
1949	2	3685	3296
1949	3	3501	3062
1949	4	4748	4295
1949	5	4266	4062
1949	6	4366	3971
1949	7	4371	4044
1949	8	4199	3957
1949	9	4241	4062
1949	10	4145	3756
1949	11	3881	3471
1949	12	3479	3106
1950	1	3770	3320
1950	2	3096	2856
1950	3	3842	3546
1950	4	3638	3233
1950	5	3655	3405
1950	6	3591	3346
1950	7	3929	3810
1950	8	3776	3610
1950	9	3397	3361
1950	10	3776	3640
1950	11	3720	3558
1950	12	4048	3807
1951	1	3737	3417
1951	2	3504	3183
1951	3	3497	3254
1951	4	3778	3527
1951	5	4314	4199
1951	6	4174	3910
1951	7	3838	3682
1951	8	4110	3949
1951	9	4150	3764
1951	10	3940	3428
1951	11	3614	3288
1951	12	3569	3433
